No.,Varietas,Panjang,Besar,Warna,Rasa,Teknik,Musim,Penyakit,PH,Grade Mutu
27,mi kongga,6.3,3.2,putih,sangat pulen,SRI,Hujan,penggerek batang,2,Grade D
28,IR 64,6.3,4.3,putih,pulen,SRI,Hujan,wereng coklat,2,Grade D
29,Beras Merah,7.4,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
30,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
31,panda wangi,6.3,1.1,coklat,sangat pulen,SRI,Kemarau,Burung,3,Grade C
32,ciheran,7.1,2.3,putih,pulen,SRI,Kemarau,penggerek batang,3,Grade D
33,mi kongga,6.5,3.5,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
34,IR 64,6.3,4.5,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
35,Beras Merah,7.2,5.5,merah,sangat pulen,SRI,Kemarau,tikus,3,Grade C
36,Beras Hitam,7.4,6.2,hitam,pulen,SRI,Kemarau,Burung,3,Grade C
37,panda wangi,6.2,1.3,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade C
38,ciheran,7.1,2.3,putih,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
39,mi kongga,6.3,3.3,putih,sangat pulen,SRI,Hujan,wereng hijau,4,Grade B
40,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,tikus,4,Grade C
41,Beras Merah,7.5,5.2,merah,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
42,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
43,panda wangi,6.5,1.4,coklat,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade A
44,ciheran,7.5,2.2,putih,pulen,SRI,Kemarau,wereng hijau,5,Grade B
45,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
46,IR 64,6.5,4.2,putih,pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
47,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade B
48,Beras Hitam,7.1,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,5,Grade B
49,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
50,ciheran,7.3,2.3,putih,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
51,mi kongga,6.2,3.3,putih,sangat pulen,SRI,Hujan,Burung,2,Grade C
52,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,penggerek batang,2,Grade D
53,Beras Merah,7.5,5.1,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
54,Beras Hitam,7.2,6.3,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
55,panda wangi,6.4,1.2,coklat,sangat pulen,SRI,Kemarau,tikus,3,Grade C
56,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,Burung,3,Grade D
57,mi kongga,6.4,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
58,IR 64,6.3,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
59,Beras Merah,7.2,5.1,merah,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
60,Beras Hitam,7.4,6.3,hitam,pulen,SRI,Kemarau,tikus,3,Grade C
61,panda wangi,6.4,1.1,putih,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
62,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
63,mi kongga,6.5,3.3,putih,sangat pulen,SRI,Hujan,wereng coklat,4,Grade C
64,IR 64,6.6,4.3,putih,pulen,SRI,Hujan,wereng hijau,4,Grade B
65,Beras Merah,7.2,5.2,merah,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
66,Beras Hitam,7.3,6.4,hitam,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
67,panda wangi,6.6,1.1,coklat,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade A
68,ciheran,7.2,2.4,putih,pulen,SRI,Kemarau,wereng coklat,5,Grade B
69,mi kongga,6.1,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
70,IR 64,6.4,4.3,putih,pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
71,Beras Merah,7.5,5.2,merah,sangat pulen,SRI,Kemarau,Burung,5,Grade C
72,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,5,Grade B
73,panda wangi,6.1,1.4,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade D
74,ciheran,7.4,2.2,putih,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
75,mi kongga,6.2,3.2,putih,sangat pulen,SRI,Hujan,tikus,2,Grade C
76,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,Burung,2,Grade C
77,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
78,Beras Hitam,7.5,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
79,panda wangi,6.3,1.1,coklat,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
80,ciheran,7.5,2.3,putih,pulen,SRI,Kemarau,tikus,3,Grade D
81,mi kongga,6.3,3.5,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
82,IR 64,6.2,4.5,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
83,Beras Merah,7.1,5.5,merah,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade C
84,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,3,Grade B
85,panda wangi,6.2,1.3,putih,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
86,ciheran,7.4,2.3,putih,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
87,mi kongga,6.1,3.3,putih,sangat pulen,SRI,Hujan,penggerek batang,4,Grade C
88,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,wereng coklat,4,Grade C
89,Beras Merah,7.3,5.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
90,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
91,panda wangi,6.1,1.4,coklat,sangat pulen,SRI,Kemarau,Burung,5,Grade B
92,ciheran,7.1,2.2,putih,pulen,SRI,Kemarau,penggerek batang,5,Grade C
93,mi kongga,6.5,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
94,IR 64,6.3,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
95,Beras Merah,7.4,5.3,merah,sangat pulen,SRI,Kemarau,tikus,5,Grade C
96,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,Burung,5,Grade C
97,panda wangi,6.1,1.3,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade D
98,ciheran,7.3,2.3,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
99,mi kongga,6.5,3.3,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
100,IR 64,6.2,4.2,putih,pulen,SRI,Hujan,tikus,2,Grade C
101,Beras Merah,7.4,1.2,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
102,Beras Hitam,7.1,6.5,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
103,panda wangi,6.4,1.2,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
104,ciheran,7.4,2.2,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
105,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
106,IR 64,6.1,4.3,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
107,Beras Merah,7.4,5.3,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
108,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
109,panda wangi,6.3,1.4,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
110,ciheran,7.1,2.2,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
111,mi kongga,6.3,3.2,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
112,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
113,Beras Merah,7.5,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
114,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
115,panda wangi,6.5,1.3,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
116,ciheran,7.5,2.3,putih,pulen,SRI,Kemarau,Burung,5,Grade C
117,mi kongga,6.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
118,IR 64,6.5,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
119,Beras Merah,7.2,1.2,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
120,Beras Hitam,7.1,6.5,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
121,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
122,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
123,mi kongga,6.2,3.2,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
124,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
125,Beras Merah,7.5,5.3,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
126,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
127,panda wangi,6.4,1.4,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
128,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
129,mi kongga,6.4,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
130,IR 64,6.3,4.2,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
131,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,Burung,3,Grade C
132,Beras Hitam,7.4,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,3,Grade C
133,panda wangi,6.4,1.3,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade C
134,ciheran,7.3,2.3,putih,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
135,mi kongga,6.5,3.3,putih,sangat pulen,SRI,Hujan,tikus,4,Grade C
136,IR 64,6.6,4.2,putih,pulen,SRI,Hujan,Burung,4,Grade C
137,Beras Merah,7.2,1.2,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
138,Beras Hitam,7.3,6.5,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
139,panda wangi,6.6,1.2,coklat,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
140,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,tikus,5,Grade C
141,mi kongga,6.1,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
142,IR 64,6.4,4.3,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
143,Beras Merah,7.5,5.3,merah,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade B
144,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,5,Grade B
145,panda wangi,6.2,1.2,putih,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade D
146,ciheran,7.1,2.3,putih,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
147,mi kongga,6.3,3.3,putih,sangat pulen,SRI,Hujan,penggerek batang,2,Grade D
148,IR 64,6.2,4.2,putih,pulen,SRI,Hujan,wereng coklat,2,Grade D
149,Beras Merah,7.2,5.1,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
150,Beras Hitam,7.1,6.3,hitam,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
151,panda wangi,6.2,1.2,coklat,sangat pulen,SRI,Kemarau,Burung,3,Grade C
152,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,penggerek batang,3,Grade D
153,mi kongga,6.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
154,IR 64,6.3,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
155,Beras Merah,7.4,5.1,merah,sangat pulen,SRI,Kemarau,tikus,3,Grade C
156,Beras Hitam,7.2,6.3,hitam,pulen,SRI,Kemarau,Burung,3,Grade C
157,panda wangi,6.2,1.1,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade C
158,ciheran,7.2,2.2,putih,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
159,mi kongga,6.4,3.3,putih,sangat pulen,SRI,Hujan,wereng hijau,4,Grade B
160,IR 64,6.3,4.3,putih,pulen,SRI,Hujan,tikus,4,Grade C
161,Beras Merah,7.1,5.2,merah,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
162,Beras Hitam,7.2,6.4,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
163,panda wangi,6.4,1.1,coklat,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade A
164,ciheran,7.2,2.4,putih,pulen,SRI,Kemarau,wereng hijau,5,Grade B
165,mi kongga,6.1,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
166,IR 64,6.3,4.3,putih,pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
167,Beras Merah,7.5,5.2,merah,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade B
168,Beras Hitam,7.1,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,5,Grade B
169,panda wangi,6,1.4,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
170,ciheran,7.1,2.2,putih,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
171,mi kongga,6.3,3.2,putih,sangat pulen,SRI,Hujan,Burung,2,Grade C
172,IR 64,6.3,4.3,putih,pulen,SRI,Hujan,penggerek batang,2,Grade D
173,Beras Merah,7.4,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
174,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
175,panda wangi,6.3,1.1,coklat,sangat pulen,SRI,Kemarau,tikus,3,Grade C
176,ciheran,7.1,2.3,putih,pulen,SRI,Kemarau,Burung,3,Grade D
177,mi kongga,6.5,3.5,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
178,IR 64,6.3,4.5,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
179,Beras Merah,7.2,5.5,merah,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
180,Beras Hitam,7.4,6.2,hitam,pulen,SRI,Kemarau,tikus,3,Grade C
181,panda wangi,6.2,1.3,putih,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
182,ciheran,7.1,2.3,putih,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
183,mi kongga,6.3,3.3,putih,sangat pulen,SRI,Hujan,wereng coklat,4,Grade C
184,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,wereng hijau,4,Grade B
185,Beras Merah,7.5,5.2,merah,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
186,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
187,panda wangi,6.5,1.4,coklat,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade A
188,ciheran,7.5,2.2,putih,pulen,SRI,Kemarau,wereng coklat,5,Grade B
189,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
190,IR 64,6.5,4.2,putih,pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
191,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,Burung,5,Grade C
192,Beras Hitam,7.1,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,5,Grade B
193,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade D
194,ciheran,7.3,2.3,putih,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
195,mi kongga,6.2,3.3,putih,sangat pulen,SRI,Hujan,tikus,2,Grade C
196,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,Burung,2,Grade C
197,Beras Merah,7.5,5.1,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
198,Beras Hitam,7.1,6.3,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
199,panda wangi,6.5,1.2,coklat,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
200,ciheran,7.5,2.3,putih,pulen,SRI,Kemarau,tikus,3,Grade D
201,mi kongga,6.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
202,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
203,Beras Merah,7.5,5.1,merah,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade C
204,Beras Hitam,7.8,6.3,hitam,pulen,SRI,Kemarau,wereng hijau,3,Grade B
205,panda wangi,6.2,1.1,putih,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
206,ciheran,7.2,2.2,putih,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
207,mi kongga,6.7,3.3,putih,sangat pulen,SRI,Hujan,penggerek batang,4,Grade C
208,IR 64,6.7,4.3,putih,pulen,SRI,Hujan,wereng coklat,4,Grade C
209,Beras Merah,7.5,5.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
210,Beras Hitam,7.2,6.4,hitam,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
211,panda wangi,6.4,1.1,coklat,sangat pulen,SRI,Kemarau,Burung,5,Grade B
212,ciheran,7.1,2.4,putih,pulen,SRI,Kemarau,penggerek batang,5,Grade C
213,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
214,IR 64,6.3,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
215,Beras Merah,7.2,5.2,merah,sangat pulen,SRI,Kemarau,tikus,5,Grade C
216,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,Burung,5,Grade C
217,panda wangi,6.2,1.4,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade D
218,ciheran,7.2,2.2,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
219,mi kongga,6.1,3.2,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
220,IR 64,6.1,4.3,putih,pulen,SRI,Hujan,tikus,2,Grade C
221,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
222,Beras Hitam,7.1,6.2,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
223,panda wangi,6.2,1.1,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
224,ciheran,7.3,2.3,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
225,mi kongga,6.2,3.5,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
226,IR 64,6.1,4.5,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
227,Beras Merah,7.3,5.5,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
228,Beras Hitam,7.1,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
229,panda wangi,6.3,1.3,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
230,ciheran,7.2,2.3,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
231,mi kongga,6.3,3.3,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
232,IR 64,6.2,4.2,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
233,Beras Merah,7.2,5.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
234,Beras Hitam,7.1,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
235,panda wangi,6.2,1.4,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
236,ciheran,7.3,2.2,putih,pulen,SRI,Kemarau,Burung,5,Grade C
237,mi kongga,6.4,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
238,IR 64,6.2,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
239,Beras Merah,7.1,5.3,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
240,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
241,panda wangi,6.3,1.3,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
242,ciheran,7.3,2.3,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
243,mi kongga,6.4,3.3,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
244,IR 64,6.2,4.2,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
245,Beras Merah,7.1,1.2,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
246,Beras Hitam,7.3,6.5,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
247,panda wangi,6.1,1.2,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
248,ciheran,7.3,2.2,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
249,mi kongga,6.5,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
250,IR 64,6.2,4.3,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
251,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,Burung,3,Grade C
252,Beras Hitam,7.4,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,3,Grade C
253,panda wangi,6.2,1.4,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade C
254,ciheran,7.2,2.2,putih,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
255,mi kongga,6.2,3.2,putih,sangat pulen,SRI,Hujan,tikus,4,Grade C
256,IR 64,6.5,4.2,putih,pulen,SRI,Hujan,Burung,4,Grade C
257,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
258,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
259,panda wangi,6.2,1.3,coklat,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
260,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,tikus,5,Grade C
261,mi kongga,6.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
262,IR 64,6.1,4.2,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
263,Beras Merah,7.3,1.2,merah,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade B
264,Beras Hitam,7.5,6.5,hitam,pulen,SRI,Kemarau,wereng hijau,5,Grade B
265,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade D
266,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
267,mi kongga,6.2,3.2,putih,sangat pulen,SRI,Hujan,penggerek batang,2,Grade D
268,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,wereng coklat,2,Grade D
269,Beras Merah,7.5,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
270,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
271,panda wangi,6.4,1.4,coklat,sangat pulen,SRI,Kemarau,Burung,3,Grade C
272,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,penggerek batang,3,Grade D
273,mi kongga,6.4,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
274,IR 64,6.3,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
275,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,tikus,3,Grade C
276,Beras Hitam,7.4,6.2,hitam,pulen,SRI,Kemarau,Burung,3,Grade C
277,panda wangi,6.4,1.3,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade C
278,ciheran,7.3,2.3,putih,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
279,mi kongga,6.5,3.3,putih,sangat pulen,SRI,Hujan,wereng hijau,4,Grade B
